,title,director,quote,link
1,肖申克的救赎,弗兰克·德拉邦特,希望让人自由。,https://movie.douban.com/subject/1292052/
2,霸王别姬,陈凯歌,风华绝代。,https://movie.douban.com/subject/1291546/
3,这个杀手不太冷,吕克·贝松,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
4,阿甘正传,Robert,一部美国近现代史。,https://movie.douban.com/subject/1292720/
5,美丽人生,罗伯托·贝尼尼,最美的谎言。,https://movie.douban.com/subject/1292063/
6,千与千寻,宫崎骏,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
7,辛德勒的名单,史蒂文·斯皮尔伯格,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
8,泰坦尼克号,詹姆斯·卡梅隆,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
9,盗梦空间,克里斯托弗·诺兰,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,机器人总动员,安德鲁·斯坦顿,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
11,海上钢琴师,朱塞佩·托纳多雷,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
12,三傻大闹宝莱坞,拉库马·希拉尼,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
13,忠犬八公的故事,莱塞·霍尔斯道姆,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
14,放牛班的春天,克里斯托夫·巴拉蒂,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
15,大话西游之大圣娶亲,刘镇伟,一生所爱。,https://movie.douban.com/subject/1292213/
16,龙猫,宫崎骏,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
17,教父,弗朗西斯·福特·科波拉,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
18,楚门的世界,彼得·威尔,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
19,乱世佳人,维克多·弗莱明,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
20,天堂电影院,朱塞佩·托纳多雷,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
21,触不可及,奥利维·那卡什,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
22,当幸福来敲门,加布里尔·穆奇诺,平民励志片。 ,https://movie.douban.com/subject/1849031/
23,熔炉,黄东赫,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
24,无间道,刘伟强,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
25,搏击俱乐部,大卫·芬奇,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
26,十二怒汉,Sidney,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
27,怦然心动,罗伯·莱纳,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
28,指环王3：王者无敌,彼得·杰克逊,史诗的终章。,https://movie.douban.com/subject/1291552/
29,星际穿越,克里斯托弗·诺兰,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
30,少年派的奇幻漂流,李安,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
31,天空之城,宫崎骏,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
32,鬼子来了,姜文,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
33,罗马假日,威廉·惠勒,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
34,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,无尽的黑暗。,https://movie.douban.com/subject/1851857/
